Collection,"""Observation ID""",Target,RA,Dec,"""Min. Wavelength""","""Max. Wavelength""","""Proposal ID""","""P.I. Name""","""Data Release"""
DAO,dao_c122_1997_005446,Th-Ar arc,,,,,,,1997-04-17T05:35:14.000
DAO,dao_c122_1997_005447,Th-Ar arc,,,,,,,1997-04-17T05:35:22.000
DAO,dao_c122_1997_005448,Th-Ar arc,,,,,,,1997-04-17T05:35:31.000
DAO,dao_c122_1997_005498,Th-Ar arc,,,,,,,1997-04-17T07:16:13.000
DAO,dao_c122_1997_005499,Th-Ar arc,,,,,,,1997-04-17T07:16:21.000
DAO,dao_c122_1997_005500,Th-Ar arc,,,,,,,1997-04-17T07:16:29.000
DAO,dao_c122_2006_011553,flat field,,,4.13525E-7,4.5552499999999997E-7,,,2006-07-25T00:01:11.000
DAO,dao_c122_2006_011554,bias,,,,,,,2006-07-25T04:15:19.000
DAO,dao_c122_2006_011555,bias,,,,,,,2006-07-25T04:15:56.000
DAO,dao_c122_1997_005501,Th-Ar arc,,,,,,,1997-04-17T07:16:38.000
DAO,dao_c122_1997_005502,Th-Ar arc,,,,,,,1997-04-17T07:16:46.000
DAO,dao_c122_2006_005075,Flat,,,4.3381E-7,4.5061000000000004E-7,,,2006-05-05T03:37:43.000
DAO,dao_c122_2006_005076,Flat,,,4.3381E-7,4.5061000000000004E-7,,,2006-05-05T03:38:12.000
DAO,dao_c122_2006_005077,Flat,,,4.3381E-7,4.5061000000000004E-7,,,2006-05-05T03:38:42.000
DAO,dao_c122_2006_005078,Flat,,,4.3381E-7,4.5061000000000004E-7,,,2006-05-05T03:39:11.000
DAO,dao_c122_2006_005079,Flat,,,4.3381E-7,4.5061000000000004E-7,,,2006-05-05T03:39:41.000
DAO,dao_c122_2006_005080,Comparison,,,4.3381E-7,4.5061000000000004E-7,,,2006-05-05T03:41:22.000
DAO,dao_c122_2006_005081,Sky,154.99726809640492,48.49993519920787,4.3381E-7,4.5061000000000004E-7,,,2007-05-05T03:43:12.000
DAO,dao_c122_2006_011559,bias,,,,,,,2006-07-25T04:18:24.000
DAO,dao_c122_2006_011561,bias,,,,,,,2006-07-25T04:19:38.000
DAO,dao_c122_2006_013138,Th-Ar arc,,,6.132875E-7,6.762875E-7,,,2006-08-04T04:17:28.000
DAO,dao_c122_1997_005503,Th-Ar arc,,,,,,,1997-04-17T07:16:54.000
DAO,dao_c122_1997_005504,Th-Ar arc,,,,,,,1997-04-17T07:17:03.000
DAO,dao_c122_1997_005505,Th-Ar arc,,,,,,,1997-04-17T07:17:11.000
DAO,dao_c122_2006_005084,11 LMi,143.89919938890887,35.80954262430695,4.3381E-7,4.5061000000000004E-7,,,2007-05-05T04:05:34.000
DAO,dao_c122_2006_005085,HD 91962,159.23922118297637,-8.850161031669627,4.3381E-7,4.5061000000000004E-7,,,2007-05-05T04:14:56.000
DAO,dao_c122_2006_005088,HD 90861,157.46397641885503,28.58110276505073,4.3381E-7,4.5061000000000004E-7,,,2007-05-05T04:44:50.000
DAO,dao_c122_2006_011565,bias,,,,,,,2006-07-25T04:22:06.000
DAO,dao_c122_2006_011566,bias,,,,,,,2006-07-25T04:22:44.000
DAO,dao_c122_2006_011567,bias,,,,,,,2006-07-25T04:23:21.000
DAO,dao_c122_2006_011568,bias,,,,,,,2006-07-25T04:23:58.000
